"Name","Child Poverty by Poverty Level"
"Description","Poverty level is the ratio of household income to the Federal Poverty Level (FPL).&nbsp;The FPL varies based on the number of children and adults in a household and the age of the head of household. In 2019,&nbsp;<a href=""https://aspe.hhs.gov/2019-poverty-guidelines"" target=""_blank"">the annual income thresholds for a family of four</a>&nbsp;would correspond to the following breakdown of poverty levels:<br />
Below 100% FPL = Below $25,750<br />
100 to 199% FPL = $25,750 to $51,499<br />
Below 200% FPL = Below $51,500<br />
200 to 399% FPL = $51,500 to $102,999<br />
400% FPL and above = $103,000 and above"
"Source Notes","CCC Analysis of U.S. Census Bureau, American Community Survey Combined 3-Year Estimates, Public Use Microdata Sample Files (2005-2019). Retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes","The Census Bureau excludes institutionalized individuals, individuals living in military group quarters or college dorms, and unrelated individuals under 15 years of age from poverty estimates. Percents refer to the percent of the total population for whom poverty status was determined."

Location,Poverty Level,TimeFrame,DataFormat,Data,Fips
Jackson Heights,400% FPL and above,2013,Number,4734,403
Elmhurst/Corona,400% FPL and above,2013,Number,2360,404
Ridgewood/Glendale,400% FPL and above,2013,Number,8868,405
Rego Park/Forest Hills,400% FPL and above,2013,Number,9563,406
Flushing,400% FPL and above,2013,Number,10627,407
Fresh Meadows/Briarwood,400% FPL and above,2013,Number,10445,408
Woodhaven,400% FPL and above,2013,Number,7043,409
Howard Beach,400% FPL and above,2013,Number,6362,410
Bayside,400% FPL and above,2013,Number,9214,411
Jamaica/St. Albans,400% FPL and above,2013,Number,8646,412
Queens Village,400% FPL and above,2013,Number,12643,413
The Rockaways,400% FPL and above,2013,Number,7811,414
St. George,400% FPL and above,2013,Number,11432,501
South Beach,400% FPL and above,2013,Number,11642,502
Tottenville,400% FPL and above,2013,Number,17193,503
Battery Park/Tribeca,400% FPL and above,2013,Number,6320.96412,101
Greenwich Village,400% FPL and above,2013,Number,9331.03588,102
Chelsea/Clinton,400% FPL and above,2013,Number,4480.53896,104
Midtown Business District,400% FPL and above,2013,Number,2242.46104,105
Mott Haven,400% FPL and above,2013,Number,826.85489,201
Hunts Point,400% FPL and above,2013,Number,472.14511,202
Morrisania,400% FPL and above,2013,Number,665.37643,203
East Tremont,400% FPL and above,2013,Number,694.62357,206
Lower East Side,Below 100% FPL,2012,Number,7805,103
Murray Hill/Stuyvesant,Below 100% FPL,2012,Number,423,106
Upper West Side,Below 100% FPL,2012,Number,3576,107
Upper East Side,Below 100% FPL,2012,Number,1683,108
Manhattanville,Below 100% FPL,2012,Number,8609,109
Central Harlem,Below 100% FPL,2012,Number,10285,110
East Harlem,Below 100% FPL,2012,Number,11533,111
Washington Heights,Below 100% FPL,2012,Number,12087,112
Concourse/Highbridge,Below 100% FPL,2012,Number,19631,204
University Heights,Below 100% FPL,2012,Number,20282,205
Bedford Park,Below 100% FPL,2012,Number,13837,207
Riverdale,Below 100% FPL,2012,Number,5279,208
Unionport/Soundview,Below 100% FPL,2012,Number,17343,209
Throgs Neck,Below 100% FPL,2012,Number,5460,210
Pelham Parkway,Below 100% FPL,2012,Number,8523,211
Williamsbridge,Below 100% FPL,2012,Number,11487,212
Williamsburg/Greenpoint,Below 100% FPL,2012,Number,16896,301
Fort Greene/Brooklyn Hts,Below 100% FPL,2012,Number,4978,302
Bedford Stuyvesant,Below 100% FPL,2012,Number,15952,303
Bushwick,Below 100% FPL,2012,Number,13919,304
East New York,Below 100% FPL,2012,Number,17316,305
Park Slope,Below 100% FPL,2012,Number,2139,306
Sunset Park,Below 100% FPL,2012,Number,12765,307
Crown Heights North,Below 100% FPL,2012,Number,9501,308
Crown Heights South,Below 100% FPL,2012,Number,7552,309
Bay Ridge,Below 100% FPL,2012,Number,5257,310
Bensonhurst,Below 100% FPL,2012,Number,9336,311
Borough Park,Below 100% FPL,2012,Number,26171,312
Coney Island,Below 100% FPL,2012,Number,5568,313
Flatbush/Midwood,Below 100% FPL,2012,Number,11145,314
Sheepshead Bay,Below 100% FPL,2012,Number,6285,315
Brownsville,Below 100% FPL,2012,Number,18340,316
East Flatbush,Below 100% FPL,2012,Number,7550,317
Canarsie,Below 100% FPL,2012,Number,8497,318
Astoria,Below 100% FPL,2012,Number,6570,401
Sunnyside/Woodside,Below 100% FPL,2012,Number,5058,402
Jackson Heights,Below 100% FPL,2012,Number,12718,403
Elmhurst/Corona,Below 100% FPL,2012,Number,8290,404
Ridgewood/Glendale,Below 100% FPL,2012,Number,9291,405
Rego Park/Forest Hills,Below 100% FPL,2012,Number,2091,406
Flushing,Below 100% FPL,2012,Number,7231,407
Fresh Meadows/Briarwood,Below 100% FPL,2012,Number,6454,408
Woodhaven,Below 100% FPL,2012,Number,7761,409
Howard Beach,Below 100% FPL,2012,Number,5473,410
Bayside,Below 100% FPL,2012,Number,2676,411
Jamaica/St. Albans,Below 100% FPL,2012,Number,15243,412
Queens Village,Below 100% FPL,2012,Number,5296,413
The Rockaways,Below 100% FPL,2012,Number,10037,414
St. George,Below 100% FPL,2012,Number,12887,501
South Beach,Below 100% FPL,2012,Number,2134,502
Tottenville,Below 100% FPL,2012,Number,2624,503
Battery Park/Tribeca,Below 100% FPL,2012,Number,434.93984,101
Greenwich Village,Below 100% FPL,2012,Number,642.06016,102
Chelsea/Clinton,Below 100% FPL,2012,Number,1015.66881,104
Midtown Business District,Below 100% FPL,2012,Number,508.33119,105
Mott Haven,Below 100% FPL,2012,Number,15312.41057,201
Hunts Point,Below 100% FPL,2012,Number,8743.58943,202
Morrisania,Below 100% FPL,2012,Number,14559.51272,203
East Tremont,Below 100% FPL,2012,Number,15199.48728,206
Lower East Side,100 to 199% FPL,2012,Number,5721,103
Murray Hill/Stuyvesant,100 to 199% FPL,2012,Number,1562,106
Upper West Side,100 to 199% FPL,2012,Number,2594,107
Upper East Side,100 to 199% FPL,2012,Number,774,108
Manhattanville,100 to 199% FPL,2012,Number,5250,109
Central Harlem,100 to 199% FPL,2012,Number,7987,110
East Harlem,100 to 199% FPL,2012,Number,7278,111
Washington Heights,100 to 199% FPL,2012,Number,12887,112
Concourse/Highbridge,100 to 199% FPL,2012,Number,12558,204
University Heights,100 to 199% FPL,2012,Number,9586,205
Bedford Park,100 to 199% FPL,2012,Number,10301,207
Riverdale,100 to 199% FPL,2012,Number,5112,208
Unionport/Soundview,100 to 199% FPL,2012,Number,12472,209
Throgs Neck,100 to 199% FPL,2012,Number,3819,210
Pelham Parkway,100 to 199% FPL,2012,Number,7142,211
Williamsbridge,100 to 199% FPL,2012,Number,10193,212
Williamsburg/Greenpoint,100 to 199% FPL,2012,Number,7389,301
Fort Greene/Brooklyn Hts,100 to 199% FPL,2012,Number,2475,302
Bedford Stuyvesant,100 to 199% FPL,2012,Number,7597,303
Bushwick,100 to 199% FPL,2012,Number,8286,304
East New York,100 to 199% FPL,2012,Number,11269,305
Park Slope,100 to 199% FPL,2012,Number,1769,306
Sunset Park,100 to 199% FPL,2012,Number,10644,307
Crown Heights North,100 to 199% FPL,2012,Number,5102,308
Crown Heights South,100 to 199% FPL,2012,Number,8192,309
Bay Ridge,100 to 199% FPL,2012,Number,8061,310
Bensonhurst,100 to 199% FPL,2012,Number,9153,311
Borough Park,100 to 199% FPL,2012,Number,15455,312
Coney Island,100 to 199% FPL,2012,Number,4774,313
Flatbush/Midwood,100 to 199% FPL,2012,Number,11038,314
Sheepshead Bay,100 to 199% FPL,2012,Number,6934,315
Brownsville,100 to 199% FPL,2012,Number,7907,316
East Flatbush,100 to 199% FPL,2012,Number,7489,317
Canarsie,100 to 199% FPL,2012,Number,10491,318
Astoria,100 to 199% FPL,2012,Number,7222,401
Sunnyside/Woodside,100 to 199% FPL,2012,Number,6196,402
Jackson Heights,100 to 199% FPL,2012,Number,10817,403
Elmhurst/Corona,100 to 199% FPL,2012,Number,9604,404
Ridgewood/Glendale,100 to 199% FPL,2012,Number,7892,405
Rego Park/Forest Hills,100 to 199% FPL,2012,Number,3092,406
Flushing,100 to 199% FPL,2012,Number,11771,407
Fresh Meadows/Briarwood,100 to 199% FPL,2012,Number,5114,408
Woodhaven,100 to 199% FPL,2012,Number,8078,409
Howard Beach,100 to 199% FPL,2012,Number,7092,410
Bayside,100 to 199% FPL,2012,Number,3172,411
Jamaica/St. Albans,100 to 199% FPL,2012,Number,13690,412
Queens Village,100 to 199% FPL,2012,Number,5569,413
The Rockaways,100 to 199% FPL,2012,Number,6800,414
St. George,100 to 199% FPL,2012,Number,8305,501
South Beach,100 to 199% FPL,2012,Number,4883,502
Tottenville,100 to 199% FPL,2012,Number,3847,503
Battery Park/Tribeca,100 to 199% FPL,2012,Number,205.55653,101
Greenwich Village,100 to 199% FPL,2012,Number,303.44347,102
Chelsea/Clinton,100 to 199% FPL,2012,Number,1146.95933,104
Midtown Business District,100 to 199% FPL,2012,Number,574.04067,105
Mott Haven,100 to 199% FPL,2012,Number,7887.90288,201
Hunts Point,100 to 199% FPL,2012,Number,4504.09712,202
Morrisania,100 to 199% FPL,2012,Number,6102.87179,203
East Tremont,100 to 199% FPL,2012,Number,6371.12821,206
Lower East Side,Below 200% FPL,2012,Number,13526,103
Murray Hill/Stuyvesant,Below 200% FPL,2012,Number,1985,106
Upper West Side,Below 200% FPL,2012,Number,6170,107
Upper East Side,Below 200% FPL,2012,Number,2457,108
Manhattanville,Below 200% FPL,2012,Number,13859,109
Central Harlem,Below 200% FPL,2012,Number,18272,110
East Harlem,Below 200% FPL,2012,Number,18811,111
Washington Heights,Below 200% FPL,2012,Number,24974,112
Concourse/Highbridge,Below 200% FPL,2012,Number,32189,204
University Heights,Below 200% FPL,2012,Number,29868,205
Bedford Park,Below 200% FPL,2012,Number,24138,207
Riverdale,Below 200% FPL,2012,Number,10391,208
Unionport/Soundview,Below 200% FPL,2012,Number,29815,209
Throgs Neck,Below 200% FPL,2012,Number,9279,210
Pelham Parkway,Below 200% FPL,2012,Number,15665,211
Williamsbridge,Below 200% FPL,2012,Number,21680,212
Williamsburg/Greenpoint,Below 200% FPL,2012,Number,24285,301
Fort Greene/Brooklyn Hts,Below 200% FPL,2012,Number,7453,302
Bedford Stuyvesant,Below 200% FPL,2012,Number,23549,303
Bushwick,Below 200% FPL,2012,Number,22205,304
East New York,Below 200% FPL,2012,Number,28585,305
Park Slope,Below 200% FPL,2012,Number,3908,306
Sunset Park,Below 200% FPL,2012,Number,23409,307
Crown Heights North,Below 200% FPL,2012,Number,14603,308
Crown Heights South,Below 200% FPL,2012,Number,15744,309
Bay Ridge,Below 200% FPL,2012,Number,13318,310
Bensonhurst,Below 200% FPL,2012,Number,18489,311
Borough Park,Below 200% FPL,2012,Number,41626,312
Coney Island,Below 200% FPL,2012,Number,10342,313
Flatbush/Midwood,Below 200% FPL,2012,Number,22183,314
Sheepshead Bay,Below 200% FPL,2012,Number,13219,315
Brownsville,Below 200% FPL,2012,Number,26247,316
East Flatbush,Below 200% FPL,2012,Number,15039,317
Canarsie,Below 200% FPL,2012,Number,18988,318
Astoria,Below 200% FPL,2012,Number,13792,401
Sunnyside/Woodside,Below 200% FPL,2012,Number,11254,402
Jackson Heights,Below 200% FPL,2012,Number,23535,403
Elmhurst/Corona,Below 200% FPL,2012,Number,17894,404
Ridgewood/Glendale,Below 200% FPL,2012,Number,17183,405
Rego Park/Forest Hills,Below 200% FPL,2012,Number,5183,406
Flushing,Below 200% FPL,2012,Number,19002,407
Fresh Meadows/Briarwood,Below 200% FPL,2012,Number,11568,408
Woodhaven,Below 200% FPL,2012,Number,15839,409
Howard Beach,Below 200% FPL,2012,Number,12565,410
Bayside,Below 200% FPL,2012,Number,5848,411
Jamaica/St. Albans,Below 200% FPL,2012,Number,28933,412
Queens Village,Below 200% FPL,2012,Number,10865,413
The Rockaways,Below 200% FPL,2012,Number,16837,414
St. George,Below 200% FPL,2012,Number,21192,501
South Beach,Below 200% FPL,2012,Number,7017,502
Tottenville,Below 200% FPL,2012,Number,6471,503
Battery Park/Tribeca,Below 200% FPL,2012,Number,640.49636,101
Greenwich Village,Below 200% FPL,2012,Number,945.50364,102
Chelsea/Clinton,Below 200% FPL,2012,Number,2162.62813,104
Midtown Business District,Below 200% FPL,2012,Number,1082.37187,105
Mott Haven,Below 200% FPL,2012,Number,23200.31345,201
Hunts Point,Below 200% FPL,2012,Number,13247.68655,202
Morrisania,Below 200% FPL,2012,Number,20662.38451,203
East Tremont,Below 200% FPL,2012,Number,21570.61549,206
Lower East Side,200 to 399% FPL,2012,Number,4301,103
Murray Hill/Stuyvesant,200 to 399% FPL,2012,Number,624,106
Upper West Side,200 to 399% FPL,2012,Number,2805,107
Upper East Side,200 to 399% FPL,2012,Number,2506,108
Manhattanville,200 to 399% FPL,2012,Number,2927,109
Central Harlem,200 to 399% FPL,2012,Number,5569,110
East Harlem,200 to 399% FPL,2012,Number,5004,111
Washington Heights,200 to 399% FPL,2012,Number,7646,112
Concourse/Highbridge,200 to 399% FPL,2012,Number,6350,204
University Heights,200 to 399% FPL,2012,Number,6168,205
Bedford Park,200 to 399% FPL,2012,Number,6590,207
Riverdale,200 to 399% FPL,2012,Number,4937,208
Unionport/Soundview,200 to 399% FPL,2012,Number,11689,209
Throgs Neck,200 to 399% FPL,2012,Number,6585,210
Pelham Parkway,200 to 399% FPL,2012,Number,8803,211
Williamsbridge,200 to 399% FPL,2012,Number,9703,212
Williamsburg/Greenpoint,200 to 399% FPL,2012,Number,4682,301
Fort Greene/Brooklyn Hts,200 to 399% FPL,2012,Number,4038,302
Bedford Stuyvesant,200 to 399% FPL,2012,Number,7596,303
Bushwick,200 to 399% FPL,2012,Number,9028,304
East New York,200 to 399% FPL,2012,Number,10087,305
Park Slope,200 to 399% FPL,2012,Number,3439,306
Sunset Park,200 to 399% FPL,2012,Number,6282,307
Crown Heights North,200 to 399% FPL,2012,Number,6463,308
Crown Heights South,200 to 399% FPL,2012,Number,8091,309
Bay Ridge,200 to 399% FPL,2012,Number,7634,310
Bensonhurst,200 to 399% FPL,2012,Number,9656,311
Borough Park,200 to 399% FPL,2012,Number,10300,312
Coney Island,200 to 399% FPL,2012,Number,3794,313
Flatbush/Midwood,200 to 399% FPL,2012,Number,11330,314
Sheepshead Bay,200 to 399% FPL,2012,Number,7061,315
Brownsville,200 to 399% FPL,2012,Number,6451,316
East Flatbush,200 to 399% FPL,2012,Number,10909,317
Canarsie,200 to 399% FPL,2012,Number,14768,318
Astoria,200 to 399% FPL,2012,Number,7062,401
Sunnyside/Woodside,200 to 399% FPL,2012,Number,6627,402
Jackson Heights,200 to 399% FPL,2012,Number,8791,403
Elmhurst/Corona,200 to 399% FPL,2012,Number,7652,404
Ridgewood/Glendale,200 to 399% FPL,2012,Number,11852,405
Rego Park/Forest Hills,200 to 399% FPL,2012,Number,5486,406
Flushing,200 to 399% FPL,2012,Number,12547,407
Fresh Meadows/Briarwood,200 to 399% FPL,2012,Number,9138,408
Woodhaven,200 to 399% FPL,2012,Number,11590,409
Howard Beach,200 to 399% FPL,2012,Number,9920,410
Bayside,200 to 399% FPL,2012,Number,7871,411
Jamaica/St. Albans,200 to 399% FPL,2012,Number,15530,412
Queens Village,200 to 399% FPL,2012,Number,16594,413
The Rockaways,200 to 399% FPL,2012,Number,8126,414
St. George,200 to 399% FPL,2012,Number,11066,501
South Beach,200 to 399% FPL,2012,Number,7917,502
Tottenville,200 to 399% FPL,2012,Number,11648,503
Battery Park/Tribeca,200 to 399% FPL,2012,Number,686.53456,101
Greenwich Village,200 to 399% FPL,2012,Number,1013.46544,102
Chelsea/Clinton,200 to 399% FPL,2012,Number,1182.94759,104
Midtown Business District,200 to 399% FPL,2012,Number,592.05241,105
Mott Haven,200 to 399% FPL,2012,Number,3863.74843,201
Hunts Point,200 to 399% FPL,2012,Number,2206.25157,202
Morrisania,200 to 399% FPL,2012,Number,3708.00588,203
East Tremont,200 to 399% FPL,2012,Number,3870.99412,206
Lower East Side,400% FPL and above,2012,Number,4115,103
Murray Hill/Stuyvesant,400% FPL and above,2012,Number,8618,106
Upper West Side,400% FPL and above,2012,Number,21097,107
Upper East Side,400% FPL and above,2012,Number,25312,108
Manhattanville,400% FPL and above,2012,Number,4732,109
Central Harlem,400% FPL and above,2012,Number,4394,110
East Harlem,400% FPL and above,2012,Number,1590,111
Washington Heights,400% FPL and above,2012,Number,4507,112
Concourse/Highbridge,400% FPL and above,2012,Number,1853,204
University Heights,400% FPL and above,2012,Number,1324,205
Bedford Park,400% FPL and above,2012,Number,1855,207
Riverdale,400% FPL and above,2012,Number,5558,208
Unionport/Soundview,400% FPL and above,2012,Number,4986,209
Throgs Neck,400% FPL and above,2012,Number,6773,210
Pelham Parkway,400% FPL and above,2012,Number,5295,211
Williamsbridge,400% FPL and above,2012,Number,5787,212
Williamsburg/Greenpoint,400% FPL and above,2012,Number,3138,301
Fort Greene/Brooklyn Hts,400% FPL and above,2012,Number,8865,302
Bedford Stuyvesant,400% FPL and above,2012,Number,3844,303
Bushwick,400% FPL and above,2012,Number,1698,304
East New York,400% FPL and above,2012,Number,3402,305
Park Slope,400% FPL and above,2012,Number,13644,306
Sunset Park,400% FPL and above,2012,Number,4300,307
Crown Heights North,400% FPL and above,2012,Number,4101,308
Crown Heights South,400% FPL and above,2012,Number,2750,309
Bay Ridge,400% FPL and above,2012,Number,6985,310
Bensonhurst,400% FPL and above,2012,Number,6524,311
Borough Park,400% FPL and above,2012,Number,4922,312
Coney Island,400% FPL and above,2012,Number,3338,313
Flatbush/Midwood,400% FPL and above,2012,Number,6208,314
Sheepshead Bay,400% FPL and above,2012,Number,8996,315
Brownsville,400% FPL and above,2012,Number,3626,316
East Flatbush,400% FPL and above,2012,Number,5133,317
Canarsie,400% FPL and above,2012,Number,13814,318
Astoria,400% FPL and above,2012,Number,5344,401
Sunnyside/Woodside,400% FPL and above,2012,Number,4834,402
Jackson Heights,400% FPL and above,2012,Number,3935,403
Elmhurst/Corona,400% FPL and above,2012,Number,2563,404
Ridgewood/Glendale,400% FPL and above,2012,Number,8972,405
Rego Park/Forest Hills,400% FPL and above,2012,Number,9248,406
Flushing,400% FPL and above,2012,Number,11590,407
Fresh Meadows/Briarwood,400% FPL and above,2012,Number,9639,408
Woodhaven,400% FPL and above,2012,Number,6069,409
Howard Beach,400% FPL and above,2012,Number,5789,410
Bayside,400% FPL and above,2012,Number,9732,411
Jamaica/St. Albans,400% FPL and above,2012,Number,8527,412
Queens Village,400% FPL and above,2012,Number,13391,413
The Rockaways,400% FPL and above,2012,Number,8126,414
St. George,400% FPL and above,2012,Number,11785,501
South Beach,400% FPL and above,2012,Number,10971,502
Tottenville,400% FPL and above,2012,Number,18961,503
Battery Park/Tribeca,400% FPL and above,2012,Number,5525.39171,101
Greenwich Village,400% FPL and above,2012,Number,8156.60829,102
Chelsea/Clinton,400% FPL and above,2012,Number,4299.26474,104
Midtown Business District,400% FPL and above,2012,Number,2151.73526,105
Mott Haven,400% FPL and above,2012,Number,869.50253,201
Hunts Point,400% FPL and above,2012,Number,496.49747,202
Morrisania,400% FPL and above,2012,Number,643.3603,203
East Tremont,400% FPL and above,2012,Number,671.6397,206
Lower East Side,Below 100% FPL,2011,Number,7451,103
Murray Hill/Stuyvesant,Below 100% FPL,2011,Number,350,106
Upper West Side,Below 100% FPL,2011,Number,4042,107
Upper East Side,Below 100% FPL,2011,Number,1049,108
Manhattanville,Below 100% FPL,2011,Number,8502,109
Central Harlem,Below 100% FPL,2011,Number,8742,110
East Harlem,Below 100% FPL,2011,Number,10659,111
Washington Heights,Below 100% FPL,2011,Number,13374,112
Concourse/Highbridge,Below 100% FPL,2011,Number,18863,204
University Heights,Below 100% FPL,2011,Number,21326,205
Bedford Park,Below 100% FPL,2011,Number,14913,207
Riverdale,Below 100% FPL,2011,Number,5257,208
Unionport/Soundview,Below 100% FPL,2011,Number,17765,209
Throgs Neck,Below 100% FPL,2011,Number,5182,210
Pelham Parkway,Below 100% FPL,2011,Number,7624,211
Williamsbridge,Below 100% FPL,2011,Number,10797,212
Williamsburg/Greenpoint,Below 100% FPL,2011,Number,16041,301
Fort Greene/Brooklyn Hts,Below 100% FPL,2011,Number,4738,302
Bedford Stuyvesant,Below 100% FPL,2011,Number,17161,303
Bushwick,Below 100% FPL,2011,Number,15219,304
East New York,Below 100% FPL,2011,Number,18975,305
Park Slope,Below 100% FPL,2011,Number,1858,306
Sunset Park,Below 100% FPL,2011,Number,11828,307
Crown Heights North,Below 100% FPL,2011,Number,10001,308
Crown Heights South,Below 100% FPL,2011,Number,7507,309
Bay Ridge,Below 100% FPL,2011,Number,5706,310
Bensonhurst,Below 100% FPL,2011,Number,6722,311
Borough Park,Below 100% FPL,2011,Number,24329,312
Coney Island,Below 100% FPL,2011,Number,4799,313
Flatbush/Midwood,Below 100% FPL,2011,Number,13187,314
Sheepshead Bay,Below 100% FPL,2011,Number,4040,315
Brownsville,Below 100% FPL,2011,Number,18856,316
East Flatbush,Below 100% FPL,2011,Number,6749,317
Canarsie,Below 100% FPL,2011,Number,7840,318
Astoria,Below 100% FPL,2011,Number,6421,401
Sunnyside/Woodside,Below 100% FPL,2011,Number,3516,402
Jackson Heights,Below 100% FPL,2011,Number,10740,403
Elmhurst/Corona,Below 100% FPL,2011,Number,8690,404
Ridgewood/Glendale,Below 100% FPL,2011,Number,9505,405
Rego Park/Forest Hills,Below 100% FPL,2011,Number,1711,406
Flushing,Below 100% FPL,2011,Number,5370,407
Fresh Meadows/Briarwood,Below 100% FPL,2011,Number,5339,408
Woodhaven,Below 100% FPL,2011,Number,6848,409
Howard Beach,Below 100% FPL,2011,Number,4398,410
Bayside,Below 100% FPL,2011,Number,2619,411
Jamaica/St. Albans,Below 100% FPL,2011,Number,14258,412
Queens Village,Below 100% FPL,2011,Number,3935,413
The Rockaways,Below 100% FPL,2011,Number,9440,414
St. George,Below 100% FPL,2011,Number,13126,501
South Beach,Below 100% FPL,2011,Number,3120,502
Tottenville,Below 100% FPL,2011,Number,2659,503
Battery Park/Tribeca,Below 100% FPL,2011,Number,398.59389,101
Greenwich Village,Below 100% FPL,2011,Number,588.40611,102
